title,value
gnu.io.rxtx.linux.x86_2.1.8.0_201606281300.jar,1
gnu.io.rxtx.linux.x86_64_2.1.8.0_201606281300.jar,1
gnu.io.rxtx.macosx.x86_64_2.1.8.0_201606281300.jar,0.435592947
gnu.io.rxtx.win32.x86_2.1.8.0_201606281300.jar,0.435592947
gnu.io.rxtx_2.1.8.0_201606281300.jar,0.435592947
javaewah_0.7.9.v201401101600.jar.pack.gz,0.886667299
javax.annotation_1.2.0.v201401042248.jar.pack.gz,0.886667299
javax.el_2.2.0.v201303151357.jar.pack.gz,0.886667299
javax.inject_1.0.0.v20091030.jar,0
javax.servlet.jsp_2.2.0.v201112011158.jar.pack.gz,0.886667299
javax.servlet_3.1.0.v201410161800.jar.pack.gz,0.886667299
javax.xml_1.3.4.v201005080400.jar,0
org.apache.ant_1.9.4.v201504302020.jar.pack.gz,1
org.apache.batik.css_1.7.0.v201011041433.jar,1
org.apache.batik.util.gui_1.7.0.v200903091627.jar,1
org.apache.batik.util_1.7.0.v201011041433.jar,0.88
org.apache.commons.codec_1.6.0.v201305230611.jar.pack.gz,1
org.apache.commons.compress_1.6.0.v201310281400.jar.pack.gz,1
org.apache.commons.jxpath_1.3.0.v200911051830.jar.pack.gz,1
org.apache.commons.logging_1.1.1.v201101211721.jar.pack.gz,1
org.apache.commons.net_3.2.0.v201305141515.jar.pack.gz,1
org.apache.felix.gogo.command_0.10.0.v201209301215.jar.pack.gz,1
org.apache.felix.gogo.runtime_0.10.0.v201209301036.jar.pack.gz,1
org.apache.felix.gogo.shell_0.10.0.v201212101605.jar.pack.gz,1
org.apache.httpcomponents.httpclient_4.3.6.v201411290715.jar.pack.gz,1
org.apache.httpcomponents.httpcore_4.3.3.v201411290715.jar.pack.gz,1
org.apache.jasper.glassfish_2.2.2.v201501141630.jar,0.88
org.apache.log4j_1.2.15.v201012070815.jar.pack.gz,1
org.apache.lucene.analysis_3.5.0.v20120725-1805.jar,0.89
org.apache.lucene.core_3.5.0.v20120725-1805.jar,1
org.eclipse.ant.core_3.4.0.v20150428-1928.jar.pack.gz,1
org.eclipse.cdt.build.crossgcc_1.1.0.201509131935.jar.pack.gz,1
org.eclipse.cdt.codan.checkers.ui_3.2.0.201509131935.jar.pack.gz,1
org.eclipse.cdt.codan.checkers_3.2.0.201509131935.jar.pack.gz,1
org.eclipse.cdt.codan.core.cxx_3.3.0.201509131935.jar.pack.gz,1
org.eclipse.cdt.codan.core_3.3.0.201509131935.jar.pack.gz,1
org.eclipse.cdt.codan.ui.cxx_3.2.0.201509131935.jar.pack.gz,1
org.eclipse.cdt.codan.ui_3.2.0.201509131935.jar.pack.gz,1
org.eclipse.cdt.core.linux.x86_5.3.0.201509131935.jar.pack.gz,1
org.eclipse.cdt.core.linux.x86_64_5.3.0.201509131935.jar.pack.gz,1
